complaint_id,customer_id,complaint_text,channel,created_at
C0019,U1212,There is an unexpected fee on my order O920391. Please explain this charge. This is ridiculous. Please check. I can share the last four digits of the card if needed.,chat,2024-01-13 07:01:53
C0020,U1205,"Part of the item in oder O910891 was broken when it got here. Very disappointed. Please check. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. I took photos right after opening the package.",email,2024-02-29 14:01:28
C0021,U1296,Can someone check where my parcel is? Order O557239 has not arrived yet. Not okay.,web,2024-03-04 10:56:03
C0022,U1260,I opened order O521947 and found the product cracked on one side. Pls let me know what can be done.,chat,2024-06-13 16:55:46
C0023,U1227,"I canceled order O596171 but the refund has not come through yet. This has been going on for several days now, and I am disappointed becuase I specifically chose your store based on delivery and support promises.",web,2024-04-09 13:58:48
C0024,U1254,"Can you tell me when I will get my money back for order O821024? Very disappointed. Kindly resolve this. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",web,2024-08-14 22:18:21
C0025,U1369,"I keep getting a verification error when trying to access my account. Looking for an update. I have been a regular customer, so I expected better handling than this.",web,2024-10-03 02:56:01
C0026,U1071,Oder O260227 missed the promised delivery date and nobody has told me why. I'm tired of chasing this. Need help asap. The tracking page keeps showing in transit.,web,2025-01-20 14:11:56
C0027,U1215,My account appears to be locked and I am unable to access my orders. Please let me know what can be done. This is frustrating.,web,2024-07-20 21:33:00
C0028,U1289,"I contacted support twice and got no real help, just scripted responses. This is frustrating. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. This was related to order O549433.",web,2024-08-28 00:42:20
C0029,U1277,"I was charged twice for order O335113 and I need this fixed. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the trakcing page.",chat,2024-03-26 22:03:35
C0030,U1311,I was transferred between people and nobody took ownership of the issue. This was related to order O426147.,email,2024-12-22 10:58:49
C0031,U1351,I keep getting a verification error when trying to access my account. This is frustrating.,web,2024-08-10 06:24:46
C0032,U1376,"I keep getting a verification error when trying to access my account. I'd be grateful for a quick update. pls respond. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. I cannot view my saved addresses or payment methods either.",chat,2024-09-10 11:50:00
C0033,U1094,I canceled order O456871 but the refund has not come through yet. Need help asap. At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-01-09 03:23:16
C0034,U1151,I paid for faster shipping but order O421080 is still not here. Not okay. The trakcing page keeps showing in transit.,email,2025-01-25 06:44:27
C0035,U1099,I paid for faster shipping but order O859782 is still not here. Kindly resolve this.,chat,2024-12-23 04:35:51
C0036,U1327,Can you tell me when I will get my money back for order O701949? Not okay.,email,2024-06-04 03:06:04
C0037,U1128,Why was I billed $325.79 when the listed total for order O735770 was lower? I would like clarification. Kindly resolve this. I can share the last four digits of the card if needed.,chat,2024-04-18 09:38:07
C0038,U1339,"Payment for order O678805 failed on the screen, but the amount was still deducted from my card. This has been going on for several days now, and I am disappointed becuase I specifically chose your store based on delievery and support promises. I can share the last four digits of the card if needed.",email,2024-08-05 04:10:43
C0039,U1279,Tracking for order O966785 has been stuck for 3 days with no update.,chat,2024-10-03 17:58:42
C0040,U1225,I was charged twice for oder O870214 and I need this fixed. Can you review this? At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-04-02 21:18:40
C0041,U1224,I was transferred between people and nobody took ownership of the issue. This was related to order O592841.,email,2024-08-20 03:12:22
C0042,U1162,The product from order O639593 is scratched badly and looks previously handled. Looking for an update. Kindly resolve this.,chat,2024-12-23 17:38:52
C0043,U1063,Your invoice for oder O938141 does not match what I saw at checkout. pls respond.,web,2025-03-03 17:34:02
C0044,U1242,Can someone check where my parcel is? Order O502219 has not arived yet. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. The trakcing page keeps showing in transit.,email,2025-01-25 19:47:08
C0045,U1194,Please process a refund for order O831380. I do not want a replacement. This is frustrating.,email,2024-09-10 01:20:52
C0046,U1065,I keep getting a verification error when trying to access my account. I would appreciate your assistance. Not okay. I cannot view my saved addresses or payment methods either.,chat,2024-06-17 19:25:42
C0047,U1195,I opened order O667296 and found the product cracked on one side. At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-06-02 01:03:14
C0048,U1024,I opened order O475876 and found the product cracked on one side. pls respond.,chat,2024-10-25 05:12:38
C0049,U1119,I need a full refund on order O367729 because the item was not as described. This is frustrating. The return tracking shows delivered already.,chat,2025-03-12 17:35:35
C0050,U1055,"My package for order O702733 was supposed to arrive days ago and it still has not shown up. I have been a regular customer, so I expected better handling than this.",chat,2024-05-26 08:22:42
C0051,U1311,I received a damaged unit for order O751051; please advise on replacement. Please check.,email,2024-05-31 11:53:43
C0052,U1213,"Tracking for order O483629 has been stuck for 7 days with no update. I'm tired of chasing this. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",web,2025-03-09 20:17:28
C0053,U1188,"Your invoice for order O377304 does not match what I saw at checkout. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",email,2024-06-16 22:12:44
C0054,U1114,"I contacted support twice and got no real help, just scripted responses. Please check. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. This was related to order O835132.",chat,2024-12-22 19:40:04
C0055,U1215,I keep getting a verification error when trying to access my account. Not okay. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,email,2024-11-26 13:03:32
C0056,U1032,"Please process a refund for order O989227. I do not want a replacement. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. The return tracking shows delivered already.",email,2024-11-01 00:06:11
C0057,U1142,"My package for order O362829 was supposed to arrive days ago and it still has not shown up. Thank you for looking into this. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. The tracking page keeps showing in transit.",web,2024-08-17 13:10:53
C0058,U1263,Please help me recover account access because I need to check order O332311. Please check. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. At this point I just want a fair resolution without having to keep following up every few days.,web,2024-11-07 05:24:02
C0059,U1034,Order O713799 missed the promised delivery date and nobody has told me why. Thanks. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. The tracking page keeps showing in transit.,web,2024-04-20 15:39:30
C0060,U1232,This delivery is delayed again. I needed order O518098 by yesterday. Please check.,chat,2024-10-14 20:27:00
C0061,U1169,"I was transferred between people and nobody took ownership of the issue. I have been a regular customer, so I expected better handling than this.",chat,2024-02-28 10:08:32
C0062,U1294,Can someone check where my parcel is? Order O904711 has not arrived yet. This is frustrating.,web,2024-01-04 06:36:17
C0063,U1074,"Please help me recover account access because I need to check order O248766. Thanks. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. I cannot view my saved addresses or payment methods either.",email,2025-01-21 22:29:41
C0064,U1026,Support has ignored my emails for days and this is unacceptable. Need help asap. This was related to order O794093.,chat,2024-01-24 08:01:43
C0065,U1203,"The password reset email never arrives, so I still cannot sign in. This is ridiculous. Not okay. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises. I cannot view my saved addresses or payment methods either.",email,2025-03-17 01:32:24
C0066,U1224,"Payment for order O428267 failed on the screen, but the amount was still deducted from my card. Please check. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. I can share the last four digits of the card if needed.",email,2024-02-24 08:51:31
C0067,U1224,"My account appears to be locked and I am unable to access my orders. Looking for an update. Not okay. I have been a regular customer, so I expected better handling than this. I cannot view my saved addresses or payment methods either.",email,2024-02-22 05:19:54
C0068,U1132,Order O897143 missed the promised delivery date and nobody has told me why.,email,2024-06-10 05:29:46
C0069,U1226,Your invoice for order O417530 does not match what I saw at checkout. pls respond.,web,2024-07-15 16:50:48
C0070,U1298,My account appears to be locked and I am unable to access my orders. Not okay.,web,2024-09-25 19:01:57
C0071,U1313,Can someone check where my parcel is? Order O506235 has not arrived yet. Not okay.,chat,2024-11-04 05:28:29
C0072,U1171,"I canceled this earlier, but I still see a charge tied to order O466813. Can you review this? I have been a regular customer, so I expected better handling than this.",email,2024-12-16 19:09:55
C0073,U1048,Your agent was rude and ended the chat before solving anything. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. This was related to order O479404.,web,2024-10-03 19:10:13
C0074,U1020,Your agent was rude and ended the chat before solving anything. Not okay.,web,2024-08-15 22:13:51
C0075,U1146,Your agent was rude and ended the chat before solving anything. Kindly resolve this. This was related to order O659951.,email,2025-02-14 22:00:54
C0076,U1071,Part of the item in order O489244 was broken when it got here. pls respond. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,chat,2024-06-27 00:58:15
C0077,U1213,There is an unexpected fee on my order O347231. Please explain this charge. Please advise on next steps.,chat,2024-12-27 17:04:47
C0078,U1230,"Two-factor login is not working and I am stuck outside my account. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. I cannot view my saved addresses or payment methods either.",email,2025-03-04 18:11:53
C0079,U1306,"The password reset email never arrives, so I still cannot sign in. Very disappointed. Kindly resolve this. At this point I just want a fair resolution without having to keep following up every few days.",web,2024-09-16 20:10:33
C0080,U1011,I need a full refund on oder O766549 because the item was not as described. Could you please help with this? Not okay. The return tracking shows delivered already.,email,2024-04-03 04:54:35
C0081,U1033,"Your agent was rude and ended the chat before solving anything. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message.",chat,2024-01-25 23:52:28
C0082,U1170,The prodcut from oder O558176 is scratched badly and looks previously handled. Thanks.,chat,2024-06-16 10:45:50
C0083,U1157,I returned oder O274739 last week and still have not received my refund.,chat,2024-03-22 01:08:01
C0084,U1074,"Please help me recover account access because I need to check order O136489. Please let me know what can be done. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",chat,2024-07-22 11:26:47
C0085,U1333,The product from order O127172 is scratched badly and looks previously handled. pls respond. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. I took photos right after opening the package.,email,2024-02-07 16:27:30
C0086,U1089,"I am more upset about how your team handled this than the original problem. Kindly resolve this. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message.",email,2024-03-03 07:19:02
C0087,U1072,Order O478427 missed the promised delivery date and nobody has told me why. The tracking page keeps showing in transit.,email,2025-02-25 20:55:53
C0088,U1038,"I paid for faster shipping but order O177767 is still not here. I'd be grateful for a quick update. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",web,2024-12-29 08:12:32
C0089,U1178,"The password reset email never arrives, so I still cannot sign in. Thank you for looking into this. At this point I just want a fair resolution without having to keep following up every few days. I cannot view my saved addresses or payment methods either.",email,2025-03-07 20:31:14
C0090,U1022,There is an unexpected fee on my oder O908475. Please explain this charge. Not okay. At this point I just want a fair resolution without having to keep following up every few days.,web,2024-03-21 16:00:19
C0091,U1213,I canceled order O736129 but the refund has not come through yet. The return tracking shows delivered already.,chat,2024-05-06 05:07:45
C0092,U1050,"Your invoice for order O745270 does not match what i saw at checkout. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",chat,2024-09-15 16:38:50
C0093,U1124,Can someone check where my parcel is? Order O152995 has not arrived yet. Please check.,email,2024-10-18 20:27:18
C0094,U1100,This was defective on arrival. Order O505116 cannot be used. This is frustrating.,email,2025-01-21 05:15:09
C0095,U1102,Pls help me recover acount access because I need to check order O142210. I would like clarification. Need help asap.,web,2024-12-28 20:29:43
C0096,U1154,I canceled order O447329 but the refund has not come through yet. The return tracking shows delivered already.,chat,2025-01-04 01:52:11
C0097,U1299,Please process a refund for order O856215. I do not want a replacement. This is frustrating.,web,2024-09-13 22:15:47
C0098,U1242,I was transferred between people and nobody took ownership of the issue. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. This was related to order O244789.,web,2025-01-04 23:25:19
C0099,U1355,I opened order O358494 and found the product cracked on one side.,email,2025-01-04 09:57:22
C0100,U1148,Your invoice for order O498138 does not match what I saw at checkout. Please advise on next steps. Thanks.,web,2024-05-02 08:49:39
C0101,U1026,"Support has ignored my emails for days and this is unacceptable. Thanks. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises. This was related to order O768933.",email,2024-09-01 23:41:07
C0102,U1103,I opened order O162036 and found the prodcut cracked on one side.,web,2025-01-18 10:32:21
C0103,U1020,"I canceled this earlier, but I still see a charge tied to order O212512. Need help asap. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",web,2024-01-08 12:16:25
C0104,U1152,"I keep getting a verification error when trying to access my account. Not okay. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises. I am attaching the relevant details from my oder history because I do not want to repeat the same information again in another conversation.",email,2024-02-01 04:18:15
C0105,U1239,"I received a damaged unit for order O626930; please advise on replacement. Kindly resolve this. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",web,2025-01-22 19:34:13
C0106,U1341,"Order O891401 missed the promised delivery date and nobody has told me why. Kindly resolve this. I have been a regular customer, so I expected better handling than this.",web,2024-09-07 03:18:39
C0107,U1262,"Refund for order O238353 is still pending and this is taking too long. Please let me know what can be done. i have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. The return tracking shows delivered already.",chat,2024-02-02 19:42:11
C0108,U1031,There is an unexpected fee on my order O133276. Please explain this charge.,chat,2024-12-15 19:38:07
C0109,U1069,"Your agent was rude and ended the chat before solving anything. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",email,2024-04-27 09:00:41
C0110,U1236,The product from order O860242 is scratched badly and looks previously handled. Kindly resolve this.,email,2024-04-29 19:39:07
C0111,U1112,"Why was I billed $314.40 when the listed total for order O345536 was lower? This has been going on for several days now, and I am disappointed becuase I specifically chose your store based on delivery and support promises.",chat,2024-06-25 23:25:20
C0112,U1344,I canceled order O830132 but the refund has not come through yet. I'd be grateful for a quick update. pls respond. At this point I just want a fair resolution without having to keep following up every few days. The return tracking shows delivered already. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,chat,2024-05-04 09:17:02
C0113,U1105,I received a damaged unit for order O988283; please advise on replacement. Thanks.,chat,2024-09-02 07:36:19
C0114,U1171,I received a damaged unit for order O322096; please advise on replacement. Need help asap.,email,2024-11-28 13:04:48
C0115,U1158,This was defective on arrival. Order O588640 cannot be used. Kindly resolve this.,chat,2024-03-19 07:08:35
C0116,U1169,This delivery is delayed again. I needed order O623555 by yesterday. I would like clarification.,email,2024-11-24 02:08:18
C0117,U1269,"Payment for order O957730 failed on the screen, but the amount was still deducted from my card. Not okay.",email,2024-09-06 00:34:21
C0118,U1004,Two-factor login is not working and I am stuck outside my account. pls respond.,email,2024-11-13 19:10:03
C0119,U1130,Part of the item in oder O182857 was broken when it got here. I am really upset about this. pls respond.,chat,2024-01-05 06:14:23
C0120,U1043,Refund for order O922478 is still pending and this is taking too long. pls respond.,web,2024-12-02 01:11:52
C0121,U1092,The product from order O715551 is scratched badly and looks previously handled. Kindly resolve this. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,email,2024-02-10 18:13:59
C0122,U1178,Why was I billed $58.43 when the listed total for order O979414 was lower? pls respond. At this point I just want a fair resolution without having to keep following up every few days. I can share the last four digits of the card if needed.,email,2024-12-14 21:19:51
C0123,U1339,"I returned order O409727 last week and still have not received my refund. I'm tired of chasing this. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",web,2024-02-22 04:49:27
C0124,U1045,My package for order O681687 was supposed to arrive days ago and it still has not shown up. Thanks.,web,2024-05-04 20:49:27
C0125,U1267,"Order O245584 missed the promised delivery date and nobody has told me why. I would appreciate your assistance. Thanks. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. The tracking page keeps showing in transit.",email,2024-03-10 11:05:32
C0126,U1004,Can you tell me when I will get my money back for order O498343? The return tracking shows delivered already.,web,2024-05-29 23:02:35
C0127,U1252,"I cannot log in to my account even after resetting the password. Kindly resolve this. I have been a regular customer, so I expected better handling than this. I cannot view my saved addresses or payment methods either.",chat,2024-07-28 18:10:44
C0128,U1072,Support has ignored my emails for days and this is unacceptable. Kindly resolve this. i am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,chat,2024-12-25 19:32:53
C0129,U1305,I was transferred between people and nobody took ownership of the issue. Kindly resolve this. At this point I just want a fair resolution without having to keep following up every few days...,email,2024-05-12 08:04:58
C0130,U1262,I was transferred between people and nobody took ownership of the issue. pls respond.,web,2024-02-13 04:13:33
C0131,U1374,"This delivery is delayed again. I needed order O577450 by yesterday. Not okay. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. The tracking page keeps showing in transit. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message.",chat,2025-01-14 08:52:50
C0132,U1265,"Order O687044 missed the promised delivery date and nobody has told me why. Not okay. i have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",chat,2024-05-22 02:16:40
C0133,U1296,"Payment for order O296041 failed on the screen, but the amount was still deducted from my card. Please let me know what can be done. Not okay. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.",web,2024-12-27 10:49:46
C0134,U1315,I cannot log in to my account even after resetting the password. I am really upset about this. Thanks.,email,2024-03-29 20:12:13
C0135,U1086,I canceled order O429861 but the refund has not come through yet. Need help asap.,email,2024-09-07 06:05:22
C0136,U1043,Two-factor login is not working and I am stuck outside my acount. I'm tired of chasing this.,email,2025-02-25 01:30:53
C0137,U1369,Can you tell me when I will get my money back for order O207391? Please advise on next steps. Please check. The return tracking shows delivered already.,chat,2024-03-25 22:26:00
C0138,U1072,"I paid for faster shipping but order O697766 is still not here. Not okay. I have been a regular customer, so I expected better handling than this. The tracking page keeps showing in transit.",email,2025-02-06 14:59:08
C0139,U1031,I received a damaged unit for order O835499; please advise on replacement. I would appreciate your assistance.,email,2025-03-26 03:23:22
C0140,U1207,Two-factor login is not working and I am stuck outside my account. Could you please help with this? At this point I just want a fair resolution without having to keep following up every few days.,web,2024-09-10 09:46:37
C0141,U1166,i received a damaged unit for order O236937; please advise on replacement. Not okay.,web,2024-04-13 04:48:10
C0142,U1333,This was defective on arrival. Order O197874 cannot be used. At this point I just want a fair resolution without having to keep following up every few days. I took photos right after opening the package...,chat,2024-09-01 02:50:15
C0143,U1068,"The password reset email never arrives, so I still cannot sign in. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",web,2025-03-23 04:50:51
C0144,U1329,Your agent was rude and ended the chat before solving anything. Not okay. At this point I just want a fair resolution without having to keep following up every few days. This was related to order O690653.,web,2025-01-20 04:29:02
C0145,U1302,I am more upset about how your team handled this than the original problem. Kindly resolve this.,chat,2024-04-06 14:15:47
C0146,U1152,"Support has ignored my emails for days and this is unacceptable. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",email,2024-12-15 06:17:25
C0147,U1242,I was charged twice for oder O114463 and I need this fixed. This is frustrating.,email,2024-02-12 11:17:00
C0148,U1041,Please help me recover account access because I need to check order O662445. I cannot view my saved addresses or payment methods either.,email,2024-06-07 23:57:32
C0149,U1380,This delivery is delayed again. I needed oder O243876 by yesterday. The tracking page keeps showing in transit.,web,2024-02-02 09:34:25
C0150,U1365,"i keep getting a verification error when trying to access my account. Need help asap. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. At this point I just want a fair resolution without having to keep following up every few days.",chat,2024-05-05 01:40:26
C0151,U1242,I received a damaged unit for oder O287654; pls advise on replacement. Need help asap. At this point I just want a fair resolution without having to keep following up every few days. I took photos right after opening the package.,email,2024-02-05 16:56:00
C0152,U1145,"This was defective on arrival. Oder O578933 cannot be used. Kindly resolve this. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message.",web,2024-01-04 14:55:44
C0153,U1013,Can someone check where my parcel is? Order O980357 has not arrived yet. Please confirm the status. Kindly resolve this.,web,2024-09-23 15:02:20
C0154,U1359,I opened oder O189026 and found the product cracked on one side. Kindly resolve this.,web,2024-06-11 16:29:03
C0155,U1140,"My package for order O242723 was supposed to arrive days ago and it still has not shown up. I'm tired of chasing this. Please check. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",email,2024-07-01 14:25:36
C0156,U1263,"Payment for oder O959926 failed on the screen, but the amount was still deducted from my card. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. This has been going on for several days now, and I am disappointed becuase I specifically chose your store based on delivery and support promises.",chat,2024-02-08 00:47:37
C0157,U1034,My package for order O948611 was supposed to arrive days ago and it still has not shown up. Not okay.,chat,2024-05-20 10:11:21
C0158,U1229,"Order O746947 missed the promised delivery date and nobody has told me why. Very disappointed. Please check. This has been going on for several days now, and I am disappointed becuase I specifically chose your store based on delivery and support promises.",web,2024-10-16 18:17:29
C0159,U1165,I canceled order O434367 but the refund has not come through yet. I'm tired of chasing this. pls respond. The return tracking shows delivered already.,email,2024-07-17 12:55:04
C0160,U1089,Can someone check where my parcel is? Order O945372 has not arrived yet.,chat,2024-09-08 01:22:55
C0161,U1047,"Your invoice for order O120896 does not match what I saw at checkout. Need help asap. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",email,2024-02-07 13:36:07
C0162,U1361,Your agent was rude and ended the chat before solving anything. At this point I just want a fair resolution without having to keep following up every few days.,email,2025-02-06 12:59:29
C0163,U1115,i was transferred between people and nobody took ownership of the issue. Not okay. At this point I just want a fair resolution without having to keep following up every few days.,email,2025-02-18 22:15:34
C0164,U1114,"Your agent was rude and ended the chat before solving anything. This is frustrating. i have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",chat,2024-12-20 02:28:05
C0165,U1180,I received a damaged unit for order O101343; please advise on replacement. I would appreciate your assistance. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. I took photos right after opening the package.,web,2024-04-25 05:55:19
C0166,U1232,"I was charged twice for order O409234 and I need this fixed. I would appreciate your assistance. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. I have been a regular customer, so I expected better handling than this.",email,2024-08-08 23:47:53
C0167,U1085,My acount appears to be locked and I am unable to access my orders. I'd be grateful for a quick update. I cannot view my saved addresses or payment methods either.,email,2024-01-28 13:08:14
C0168,U1002,I returned order O755455 last week and still have not received my refund. pls respond.,web,2024-02-16 23:22:10
C0169,U1279,I canceled order O487345 but the refund has not come through yet. Honestly this is unacceptable. This is frustrating. The return tracking shows delivered already. At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-10-28 08:17:00
C0170,U1284,Why was I billed $294.87 when the listed total for order O538967 was lower? Please check. At this point I just want a fair resolution without having to keep following up every few days. I can share the last four digits of the card if needed.,web,2025-01-22 16:20:56
C0171,U1089,Can someone check where my parcel is? Order O232315 has not arrived yet. Thanks.,email,2024-09-23 16:40:51
C0172,U1007,Your agent was rude and ended the chat before solving anything. Please check.,web,2024-10-01 12:31:11
C0173,U1211,i opened order O699809 and found the product cracked on one side. Looking for an update.,chat,2024-05-17 13:33:36
C0174,U1011,"I recieved a damaged unit for order O426053; pls advise on replacement. I would appreciate your assistance. Not okay. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. I took photos right after opening the package.",chat,2024-09-20 05:47:16
C0175,U1034,I opened order O242239 and found the product cracked on one side. I would appreciate your assistance. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation. I took photos right after opening the package.,chat,2024-03-04 01:06:45
C0176,U1124,This was defective on arrival. Order O286209 cannot be used. Please confirm the status. I took photos right after opening the package.,chat,2024-11-27 08:11:45
C0177,U1347,My package for order O638214 was supposed to arrive days ago and it still has not shown up. Need help asap. The tracking page keeps showing in transit.,chat,2024-08-04 13:42:25
C0178,U1179,Refund for order O416822 is still pending and this is taking too long. Very disappointed.,chat,2024-06-21 10:03:59
C0179,U1328,Part of the item in order O787991 was broken when it got here.,chat,2024-05-31 09:26:43
C0180,U1215,I need a full refund on order O711344 because the item was not as described.,email,2024-10-12 06:35:41
C0181,U1151,"I canceled this earlier, but I still see a charge tied to order O371216. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",web,2025-03-11 04:17:17
C0182,U1241,"There is an unexpected fee on my order O708502. Please explain this charge. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message.",web,2024-08-22 05:12:52
C0183,U1162,"I was transferred between people and nobody took ownership of the issue. I understand delays can happen, but I need a clear update and a practical solution instead of another generic message. This was related to order O611265.",email,2024-08-07 14:41:13
C0184,U1220,"I returned order O659711 last week and still have not received my refund. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",email,2024-07-15 18:19:33
C0185,U1302,Part of the item in order O412687 was broken when it got here. Not okay. I took photos right after opening the package.,email,2024-03-08 07:41:21
C0186,U1376,i was charged twice for order O229144 and I need this fixed. Please check.,email,2024-08-01 16:10:37
C0187,U1195,"I canceled this earlier, but I still see a charge tied to order O835962. Not okay. I have been a regular customer, so I expected better handling than this. I can share the last four digits of the card if needed.",chat,2024-03-01 10:17:34
